10:49:07 старт: книг 187, номеров ~48780
10:57:44   book 763 english 1 кл: номеров 697, скачано новых 697
11:00:39   book 771 english 1 кл: номеров 243, скачано новых 243
11:02:24   book 764 english 1 кл: номеров 168, скачано новых 168
11:03:40   book 619 english 1 кл: номеров 126, скачано новых 126
11:04:25   book 652 english 1 кл: номеров 73, скачано новых 73
11:04:57   book 622 english 1 кл: номеров 52, скачано новых 52
11:08:03   book 621 english 2 кл: номеров 291, скачано новых 291
11:12:47   book 640 english 2 кл: номеров 253, скачано новых 253
11:16:48   book 612 english 2 кл: номеров 248, скачано новых 248
11:22:01   book 768 english 2 кл: номеров 227, скачано новых 227
